"foodtype","years","foodhomeawayhome","lowus","upus","lowlincome","uplincome","lowhincome","uphincome","incomelevels","meanincome"
"dairy","03-04","fah",174.79,178.11,172.69,175.97,176.1,179.45,"meanhincome",177.77
"meat","03-04","fah",86.59,90.18,87.73,91.12,85.89,89.61,"meanhincome",87.75
"grain","03-04","fah",88.72,91.2,89.04,91.44,88.53,91.06,"meanhincome",89.8
"oil","03-04","fah",36.58,37.95,36.19,37.49,36.82,38.24,"meanhincome",37.53
"fruit","05-06","fah",105.12,107.53,106.86,109.31,104.29,106.68,"meanhincome",105.49
"veg","05-06","fah",100.9106,105.1442,102.2532,106.1732,100.2834,104.6738,"meanhincome",102.4786
"dairy","05-06","fah",173.5,176.69,173.3,176.46,173.61,176.81,"meanhincome",175.21
"meat","05-06","fah",85.76,89.45,92.83,96.42,82.4,86.13,"meanhincome",84.26
"grain","05-06","fah",87.78,90.34,90.39,92.88,86.53,89.14,"meanhincome",87.83
"oil","05-06","fah",36.83,38.22,37,38.3,36.74,38.18,"meanhincome",37.46
"fruit","07-08","fah",102.23,104.57,102.48,104.83,102.06,104.4,"meanhincome",103.23
"veg","07-08","fah",100.7538,104.7718,97.755,101.479,102.7236,106.9376,"meanhincome",104.8306
"dairy","07-08","fah",170.14,173.98,165.98,169.7,172.86,176.76,"meanhincome",174.81
"meat","07-08","fah",87.31,90.89,87.39,90.81,87.27,90.94,"meanhincome",89.11
"grain","07-08","fah",92.89,95.36,94.17,96.59,92.07,94.58,"meanhincome",93.33
"oil","07-08","fah",38.64,40.02,38.52,39.83,38.71,40.15,"meanhincome",39.43
